host=public-dns.info, protocol=https, dl_speed=583790, sc_avg_speed=583790, mc_avg_speed=0, last_updated=1764251163, counter=1, status=OK
host=qme.mydns.jp, protocol=https, dl_speed=101487, sc_avg_speed=101487, mc_avg_speed=0, last_updated=1764250793, counter=1, status=OK
host=raw.githubusercontent.com, protocol=https, dl_speed=37261251, sc_avg_speed=24018590, mc_avg_speed=0, last_updated=1764251163, counter=40, status=OK
host=report.rutgers.edu, protocol=https, dl_speed=458629, sc_avg_speed=458629, mc_avg_speed=0, last_updated=1764250794, counter=1, status=OK
host=reputation.alienvault.com, protocol=https, dl_speed=2833733, sc_avg_speed=2833733, mc_avg_speed=0, last_updated=1764250785, counter=1, status=OK
host=secure.fanboy.co.nz, protocol=https, dl_speed=1717165, sc_avg_speed=1717165, mc_avg_speed=0, last_updated=1764250788, counter=1, status=OK
host=securedrop.org, protocol=https, dl_speed=81950, sc_avg_speed=81950, mc_avg_speed=0, last_updated=1764251162, counter=1, status=OK
host=shreshtait.com, protocol=https, dl_speed=147867, sc_avg_speed=147867, mc_avg_speed=0, last_updated=1764250795, counter=1, status=OK
host=sigs.interserver.net, protocol=https, dl_speed=762617, sc_avg_speed=762617, mc_avg_speed=0, last_updated=1764250789, counter=1, status=OK
host=someonewhocares.org, protocol=https, dl_speed=4767222, sc_avg_speed=4767222, mc_avg_speed=0, last_updated=1764250786, counter=1, status=OK
host=taz.net.au, protocol=http, dl_speed=629058, sc_avg_speed=629058, mc_avg_speed=0, last_updated=1764250797, counter=1, status=OK
host=threatfox.abuse.ch, protocol=https, dl_speed=15934411, sc_avg_speed=17796640, mc_avg_speed=0, last_updated=1764250785, counter=2, status=OK
host=tracker.viriback.com, protocol=https, dl_speed=5010947, sc_avg_speed=5010947, mc_avg_speed=0, last_updated=1764250797, counter=1, status=OK
host=urlhaus.abuse.ch, protocol=https, dl_speed=10498055, sc_avg_speed=9277924, mc_avg_speed=0, last_updated=1764250785, counter=2, status=OK
host=view.sentinel.turris.cz, protocol=https, dl_speed=502341, sc_avg_speed=502341, mc_avg_speed=0, last_updated=1764250797, counter=1, status=OK
host=voipbl.org, protocol=https, dl_speed=2427055, sc_avg_speed=2427055, mc_avg_speed=0, last_updated=1764250797, counter=1, status=OK
host=winhelp2002.mvps.org, protocol=https, dl_speed=1005614, sc_avg_speed=1005614, mc_avg_speed=0, last_updated=1764250799, counter=1, status=OK
host=www.botvrij.eu, protocol=https, dl_speed=96963, sc_avg_speed=2546099, mc_avg_speed=0, last_updated=1764250786, counter=0, status=OK
host=www.coi.cz, protocol=https, dl_speed=131632, sc_avg_speed=131632, mc_avg_speed=0, last_updated=1764250786, counter=1, status=OK
host=www.dan.me.uk, protocol=https, dl_speed=187122, sc_avg_speed=187122, mc_avg_speed=0, last_updated=1764251163, counter=1, status=OK
host=www.github.developerdan.com, protocol=https, dl_speed=46891857, sc_avg_speed=34916896, mc_avg_speed=0, last_updated=1764250790, counter=2, status=OK
host=www.snort.org, protocol=https, dl_speed=189400, sc_avg_speed=189400, mc_avg_speed=0, last_updated=1764250795, counter=1, status=OK
host=www.stopforumspam.com, protocol=https, dl_speed=10349055, sc_avg_speed=10349055, mc_avg_speed=0, last_updated=1764250795, counter=1, status=OK
host=www.team-cymru.org, protocol=https, dl_speed=5068035, sc_avg_speed=2952656, mc_avg_speed=0, last_updated=1764251163, counter=2, status=OK
host=zitstif.com, protocol=http, dl_speed=11501747, sc_avg_speed=3478777, mc_avg_speed=5750873, last_updated=1764250800, counter=2, status=OK
host=zitstif.no-ip.org, protocol=http, dl_speed=3239495, sc_avg_speed=0, mc_avg_speed=3239495, last_updated=1764250800, counter=1, status=OK
