Issues found in 6 inputs. Find details below.

[target/energized.txt]:
✗ [404] https://raw.githubusercontent.com/tomzuu/blacklist-named/master/pushing.sites.conf | Network error: Not Found

[target/arapurayil_nsfw.txt]:
✗ [404] https://abl.arapurayil.com/core/regex_rules.txt | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/Clefspeare13/pornhosts/master/0.0.0.0/hosts | Network error: Not Found

[target/sheriff53.txt]:
✗ [404] https://gitlab.com/my-privacy-dns/matrix/matrix/raw/master/source/spyware/domain.list | Network error: Not Found
✗ [403] https://www.gameindustry.eu/files/hosts.txt | Network error: Forbidden
✗ [404] https://raw.githubusercontent.com/herrbischoff/trackers/master/domains.txt | Network error: Not Found
✗ [404] https://v.firebog.net/hosts/Airelle-hrsk.txt | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/mypdns/matrix/master/source/coin-blocker/domains.list | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/dupontjean/pihole-blocklist/master/game.txt | Network error: Not Found
✗ [404] https://gitlab.com/my-privacy-dns/matrix/matrix/raw/master/source/redirector/domain.list | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/mypdns/matrix/master/source/coin-blocker/wildcard.list | Network error: Not Found
↻ [404] https://raw.githubusercontent.com/herrbischoff/trackers/master/trackers.txt | Error (cached)
↻ [403] https://assets.windscribe.com/custom_blocklists/clickbait.txt | Error (cached)
✗ [ERR] https://adblock.dk/block.csv | Network error: dns error: no record found for name: adblock.dk.ubt5suc3ufjutoeqyo4zsso0he.gx.internal.cloudapp.net. type: AAAA class: IN
↻ [404] https://raw.githubusercontent.com/Clefspeare13/pornhosts/master/download_here/0.0.0.0/hosts | Error (cached)
✗ [404] https://raw.githubusercontent.com/mypdns/matrix/master/source/adware/inactive_wildcard.list | Network error: Not Found
✗ [404] https://gitlab.com/my-privacy-dns/matrix/matrix/raw/master/source/bait_sites/domain.list | Network error: Not Found
✗ [404] https://gitlab.com/my-privacy-dns/matrix/matrix/raw/master/source/fake-news/domain.list | Network error: Not Found
✗ [404] https://v.firebog.net/hosts/Airelle-trc.txt | Network error: Not Found
✗ [404] https://gitlab.com/my-privacy-dns/matrix/matrix/raw/master/source/coin-blocker/domain.list | Network error: Not Found

🔍 2133 Total ✅ 2062 OK 🚫 68 Errors (HTTP:68|Timeouts:3)
